payment_id,order_id,payment_method,payment_status,amount
c838cbb6-ff64-4d3f-8314-b5c5ce48a008,4375df30-d782-4174-8088-024af5da6dbb,UPI,Success,4285.53
cd156cd6-1fbe-46f6-9fa4-820107178095,e24c460c-0a81-42c3-ac22-e3e598c03d35,UPI,Success,17490.76
a4f7596b-c21a-4f8a-8e1e-021612311234,b34da04e-7914-4edf-a2b1-0f6cbd705000,Cash on Delivery,Success,1399.08
44090be3-f15c-4f22-90e1-54cae2008b44,b25dc54e-71db-4518-b3d3-edcc9f2cc3a3,UPI,Success,3929.29
1b92cbf9-f79c-42db-a202-41f165253f9d,324e548c-c432-4d1f-b0fc-7c8243857ad5,UPI,Success,7758.33
3a3e5ebb-1b25-4ab6-bfec-2401ca4cd511,44d5a95f-25f0-437f-a4d4-7ed6c6950818,,Success,8089.46
1c4ea8a7-e73b-424d-841d-6aacde0e4de7,86ed1e0b-856e-4ba7-b048-ec441159eced,Cash on Delivery,Refunded,3896.48
0f7ca7a3-541b-44f7-a070-da781d0a2175,ORDER_ID_GHOST_76eaf487,Credit Card,Success,3558.16
dbe85e5e-6034-4270-8662-06ec9b523d3b,83b4d2ea-f372-4a7d-b045-643ceb9f28ca,UPI,Success,6676.14
6a42e54f-42bb-437a-a928-fed676c4a108,ORDER_ID_GHOST_01af5853,,Success,591.5
6fb1f3d1-efc0-433e-bfdf-0e2cc1639401,addf33b6-5d1f-43a5-a633-3a5fc0ef89c0,UPI,Refunded,867.98
c7d21827-ed19-4a21-90b4-1c9ea66a30dd,46119682-4820-4949-87af-936536232b1e,Credit Card,Success,11093.67
11b4aa79-d58a-467b-872c-fdf553591ee6,00318eca-fc2a-4a4f-955b-1dd2fceefcc3,UPI,Refunded,1049.34
3ed19243-eb85-46cd-87da-76f7d9fa40a5,7906ce33-c229-4ae7-ad0e-49b1f2903c3c,Net Banking,Failed,43587.76
c0847b10-feb3-4bb3-b4ee-aa577da77afb,0a7da3e5-a69c-4ca3-8b76-0eec2a93fa5a,UPI,Success,2145.78
ea9db606-7b82-4491-bdbb-c28564ae356e,45f4b2f0-1b43-48b4-a812-bafd40a2e186,Debit Card,Success,5065.92
cab59614-6e62-4b8a-ac2e-e79ed10b71fb,4ee27f2b-7ba4-4323-9bcc-09cb0b7f7d86,Net Banking,Success,175733.26
134f2280-1806-49e1-8bae-62dfcade5fe5,84afcaee-3366-4f33-a1ea-d564e2c78be9,Net Banking,Success,1196.33
1deff928-99eb-4171-a648-8b05f4b894ea,1e627265-3050-40c8-ac5f-bdc895ab0d9b,,Success,6620.24
489223b7-1524-4e8d-8247-ee2e27ee5700,e3ed367e-ac00-4242-898d-9c44908b83a7,UPI,Success,967.88
d74982c9-ee3a-4545-a8f3-ffdbee8126d9,f3dc3cdf-ae0b-47a4-8013-07615051d00f,Cash on Delivery,Failed,226408.71
0897246c-21d4-4b51-b7db-9ee37d138420,958c37d3-d380-4c04-a73e-6f59013d2595,,Success,30057.12
e06476fb-4325-4274-8e2b-42de76c9b551,c9e6473a-41e3-449d-b5d7-e05859b307d3,Cash on Delivery,Success,155560.25
0f4c8a29-98c5-4dfa-969b-98e36222e6b2,b76c7ee6-6d84-49d2-b799-6aed9f75a369,UPI,Success,2526.42
4586fd50-5523-449e-a444-a61963c478d3,ORDER_ID_GHOST_816c5473,Cash on Delivery,Success,19916.98
df7e300a-c512-4ab7-911e-9d81bcd8875c,787cfa8f-4de8-4806-9f20-ed06b5e4f430,Net Banking,Refunded,2632.1
9aefa5d5-e212-44e7-b2a7-e3f5a6ae6a2f,e197ce21-6661-4008-8c45-fd6bbcc1bfff,Credit Card,Success,34641.28
1007ca72-79e2-4c55-bebc-c0e77718c494,a4b0b1f8-b7f5-4950-b8ac-817dd9bebe66,Upi,Success,246617.11
4ae84ff5-e233-48ec-9894-8d0b9376fdd2,c6ab8475-4951-4e19-a4a2-02d023b4cbe0,UPI,Success,28973.82
50db929a-50d1-42ed-908c-a802d6a26445,f5d892b9-3239-4de0-aad7-d69554f233e1,Cash on Delivery,Refunded,1444.68
bbcb5972-19bd-44a7-8822-6fbdde1ed321,d9783b0d-9339-4d7e-bb11-818fa2d03da3,Cash on Delivery,Failed,101573.82
ed4c3f24-0bfb-47a8-a629-0700f998595d,ORDER_ID_GHOST_fdd542a4,Cash On Delivery,Success,1032.9
4c4c049e-5c6a-452b-993f-78e9c2ad80df,88537cd5-2296-4541-8be4-33fddfc301c4,Cash on Delivery,Success,67039.6
603f2fb5-ab35-4961-9eb4-463dc4673364,10e2081f-5c66-4b60-908d-1e5003ba5e1b,Net Banking,Success,43588.13
4c72fbda-1ccf-43e8-9826-68f94a510ca0,5f95cfbb-6296-4bc8-b0a0-4d521ab18f5a,Credit Card,Refunded,47989.17
77996cb5-011c-4ee9-9295-c73c22d4c7fa,33e204be-7f2d-43d2-ba8d-94a70e67399c,UPI,Success,71300.57
081a75d7-b62a-4f37-ae9c-95c51cd0f66f,ff503a80-6a15-487f-a128-8bed38defcc5,Cash on Delivery,Success,50415.14
041ac7ad-e655-4489-a83b-00163a723d00,af9fd1d4-f9fc-43de-9b38-09969e045ffa,,Success,2195.33
53091eed-7d05-416e-8266-5ad30bcdccca,8561397b-f47b-4fe4-8e26-7663af135ef0,Cash on Delivery,Refunded,83733.68
ad1c6a1a-ba25-4c3a-a95a-ad62de71b822,09ce283a-ac58-4b09-9dd5-cde27870fc78,Debit Card,Success,77494.43
673652e8-83cb-42d6-a340-e3636a571784,32f22dee-5e39-4e4e-a517-6c40a46a0280,Credit Card,Success,106488.89
ecc71b28-66c8-4673-8bfb-b1d40c8495d5,d6ac4719-cf13-4859-aa6b-f8044e84c67c,Debit Card,Success,537.17
4ed029d3-109c-4465-ba51-d8b8b1a40ae0,9de8a3ab-b2f0-4cf7-be9f-1159f8252dd9,Cash on Delivery,Success,1645.71
d33dee61-1297-415c-a65b-5d925db25bd5,7c4f592e-f773-4597-b650-cd97dc7be749,Credit Card,Success,2351.34
53c6b46e-7296-4a4d-b8ff-0b17d1dcc00b,e3d0c959-ecc1-4b8d-8a0b-de80e331c83e,Net Banking,Success,24411.25
37804be7-9f14-43a1-b1f0-f0faf3c5cbad,55d59634-701a-4a6b-981e-54e746a9b8fd,UPI,Success,7936.47
1f652818-7111-49a6-9efd-dd1182a1b918,aba8a2e8-e4ff-47bc-9724-d645ed42b170,UPI,Success,3893.54
6d2de3d2-1b54-4fd7-ba26-8b6414f5289b,0cb78d5a-0b89-4c45-97d9-6874e1eb43c3,Cash on Delivery,Success,2187.34
e40d009b-3af7-4511-bede-4f7539a3b659,8438ea78-b5a8-445a-ba08-7889d2057a05,Net Banking,Success,24603.6
0685ddf9-3405-4a71-a17e-a20783e789d0,5dac2c59-df95-4b66-b0b1-7336b221c9b9,UPI,Success,74072.35
64125cf2-f002-4233-af66-28b6453c5276,ad09c9ba-4782-4116-8de5-b8e8808c96a1,Net Banking,Success,175310.13
9fbdaa08-2c16-4a60-b410-295fee0c4a90,d6140bbe-bd3e-4002-b434-d75297ad63d9,,Success,819.49
f4d6970e-dd15-4e4d-833e-245ccfbc08cd,a3281ee6-20c2-441d-b570-b4f5ae0ac752,UPI,Success,2547.94
b0267316-a24c-4005-87a7-f8931f6d5f86,db024ab5-dd0a-40f5-bd40-b9f2fd007b95,Credit Card,Pending,15461.45
725f583a-1179-4d5f-86c6-6e3c7d827a8c,1c6b15ac-13fd-4b4f-9b16-3a49fac85b82,Debit Card,Success,78723.64
ccad167b-5714-42ea-aa97-1dab01d67da5,770a2830-3538-4881-a3cb-15f6008025c3,Net Banking,Success,2698.94
6fb22e22-0d62-479e-a13a-a73e67b94b6e,d75c05ad-c4cc-400c-b2ed-e4e163e2d5a5,Cash on Delivery,Success,1437.82
